[2019/08/26 17:29:56.980] [TID:4] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomChat End. DummyIndex:8, result:True, message:ok
[2019/08/26 17:29:57.088] [TID:3] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomChat End. DummyIndex:1, result:True, message:ok
[2019/08/26 17:29:57.155] [TID:9] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomLeave End. DummyIndex:0, result:True, message:ok
[2019/08/26 17:29:57.155] [TID:7] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomLeave End. DummyIndex:3, result:True, message:ok
[2019/08/26 17:29:57.155] [TID:21] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomLeave End. DummyIndex:9, result:True, message:ok
[2019/08/26 17:29:57.155] [TID:17] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomLeave End. DummyIndex:6, result:True, message:ok
[2019/08/26 17:29:57.155] [TID:16] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomLeave End. DummyIndex:7, result:True, message:ok
[2019/08/26 17:29:57.157] [TID:8] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomLeave End. DummyIndex:1, result:True, message:ok
[2019/08/26 17:29:57.157] [TID:10] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomLeave End. DummyIndex:8, result:True, message:ok
[2019/08/26 17:29:57.157] [TID:14] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomLeave End. DummyIndex:4, result:True, message:ok
[2019/08/26 17:29:57.157] [TID:20] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomLeave End. DummyIndex:5, result:True, message:ok
[2019/08/26 17:29:57.157] [TID:4] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomLeave End. DummyIndex:2, result:True, message:ok
[2019/08/26 17:29:57.932] [TID:9] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: Disconnect End. DummyIndex:1, result:True, message:ok
[2019/08/26 17:29:58.002] [TID:7] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: Disconnect End. DummyIndex:8, result:True, message:ok
[2019/08/26 17:29:58.016] [TID:21] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: Disconnect End. DummyIndex:6, result:True, message:ok
[2019/08/26 17:29:58.016] [TID:8] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: Disconnect End. DummyIndex:5, result:True, message:ok
[2019/08/26 17:29:58.164] [TID:21] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: Disconnect End. DummyIndex:3, result:True, message:ok
[2019/08/26 17:29:58.164] [TID:9] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: Disconnect End. DummyIndex:7, result:True, message:ok
[2019/08/26 17:29:58.164] [TID:5] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: Disconnect End. DummyIndex:0, result:True, message:ok
[2019/08/26 17:29:58.164] [TID:10] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: Disconnect End. DummyIndex:9, result:True, message:ok
[2019/08/26 17:29:58.286] [TID:8] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: Disconnect End. DummyIndex:2, result:True, message:ok
[2019/08/26 17:29:58.286] [TID:4] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: Disconnect End. DummyIndex:4, result:True, message:ok
[2019/08/26 17:29:58.286] [TID:8] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: Login End. DummyIndex:7, result:True, message:ok
[2019/08/26 17:29:58.286] [TID:7] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: Login End. DummyIndex:1, result:True, message:ok
[2019/08/26 17:29:58.286] [TID:3] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: Login End. DummyIndex:6, result:True, message:ok
[2019/08/26 17:29:58.286] [TID:4] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: Login End. DummyIndex:5, result:True, message:ok
[2019/08/26 17:29:58.299] [TID:7] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: Login End. DummyIndex:3, result:True, message:ok
[2019/08/26 17:29:58.299] [TID:21] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: Login End. DummyIndex:8, result:True, message:ok
[2019/08/26 17:29:58.337] [TID:9] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomEnter End. DummyIndex:6, result:True, message:ok
[2019/08/26 17:29:58.337] [TID:21] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomEnter End. DummyIndex:7, result:True, message:ok
[2019/08/26 17:29:58.337] [TID:4] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: Login End. DummyIndex:9, result:True, message:ok
[2019/08/26 17:29:58.337] [TID:3] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: Login End. DummyIndex:0, result:True, message:ok
[2019/08/26 17:29:58.337] [TID:4] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomEnter End. DummyIndex:5, result:True, message:ok
[2019/08/26 17:29:58.337] [TID:10] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomEnter End. DummyIndex:3, result:True, message:ok
[2019/08/26 17:29:58.337] [TID:3] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomEnter End. DummyIndex:1, result:True, message:ok
[2019/08/26 17:29:58.366] [TID:10] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomChat End. DummyIndex:6, result:True, message:ok
[2019/08/26 17:29:58.366] [TID:8] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomChat End. DummyIndex:1, result:True, message:ok
[2019/08/26 17:29:58.366] [TID:21] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomEnter End. DummyIndex:8, result:True, message:ok
[2019/08/26 17:29:58.366] [TID:5] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: Login End. DummyIndex:2, result:True, message:ok
[2019/08/26 17:29:58.376] [TID:8] [MoveNextRunner.InvokeMoveNext => <RecvProc>d__23.MoveNext => ActionBase.End]: Login End. DummyIndex:4, result:True, message:ok
[2019/08/26 17:29:58.376] [TID:9] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomChat End. DummyIndex:5, result:True, message:ok
[2019/08/26 17:29:58.376] [TID:5] [AsyncTaskMethodBuilder`1.Start => <RecvProc>d__23.MoveNext => ActionBase.End]: RoomEnter End. DummyIndex:9, result:True, message:ok
